conv spk part sid chno starttime endtime word.id wavfile
AlGore_2006 AG AG 84 NA 64.11 64.3 AlGore_2006.AG.words84 AlGore_2006-light.wav
AlGore_2006 AG AG 85 NA 64.3 64.51 AlGore_2006.AG.words85 AlGore_2006-light.wav
AlGore_2006 AG AG 86 NA 64.51 65.14 AlGore_2006.AG.words86 AlGore_2006-light.wav
AlGore_2006 AG AG 87 NA 65.14 65.22 AlGore_2006.AG.words87 AlGore_2006-light.wav
AlGore_2006 AG AG 88 NA 65.22 65.54 AlGore_2006.AG.words88 AlGore_2006-light.wav
AlGore_2006 AG AG 89 NA 65.54 65.63 AlGore_2006.AG.words89 AlGore_2006-light.wav
AlGore_2006 AG AG 90 NA 65.63 65.8 AlGore_2006.AG.words90 AlGore_2006-light.wav
AlGore_2006 AG AG 91 NA 65.8 65.94 AlGore_2006.AG.words91 AlGore_2006-light.wav
AlGore_2006 AG AG 92 NA 65.94 66.04 AlGore_2006.AG.words92 AlGore_2006-light.wav
AlGore_2006 AG AG 93 NA 66.04 66.46 AlGore_2006.AG.words93 AlGore_2006-light.wav
AlGore_2006 AG AG 94 NA 75.94 76.06 AlGore_2006.AG.words94 AlGore_2006-light.wav
AlGore_2006 AG AG 95 NA 76.06 76.2 AlGore_2006.AG.words95 AlGore_2006-light.wav
AlGore_2006 AG AG 96 NA 76.2 76.3 AlGore_2006.AG.words96 AlGore_2006-light.wav
AlGore_2006 AG AG 97 NA 76.3 76.47 AlGore_2006.AG.words97 AlGore_2006-light.wav
AlGore_2006 AG AG 98 NA 76.47 76.73 AlGore_2006.AG.words98 AlGore_2006-light.wav
AlGore_2006 AG AG 99 NA 76.73 77.03 AlGore_2006.AG.words99 AlGore_2006-light.wav
AlGore_2006 AG AG 100 NA 77.03 77.15 AlGore_2006.AG.words100 AlGore_2006-light.wav
AlGore_2006 AG AG 101 NA 77.15 77.87 AlGore_2006.AG.words101 AlGore_2006-light.wav
AlGore_2006 AG AG 102 NA 78.73 78.99 AlGore_2006.AG.words102 AlGore_2006-light.wav
AlGore_2006 AG AG 103 NA 78.99 79.24 AlGore_2006.AG.words103 AlGore_2006-light.wav
AlGore_2006 AG AG 104 NA 79.24 79.39 AlGore_2006.AG.words104 AlGore_2006-light.wav
AlGore_2006 AG AG 105 NA 79.39 79.68 AlGore_2006.AG.words105 AlGore_2006-light.wav
AlGore_2006 AG AG 106 NA 79.68 79.86 AlGore_2006.AG.words106 AlGore_2006-light.wav
AlGore_2006 AG AG 107 NA 79.86 80.03 AlGore_2006.AG.words107 AlGore_2006-light.wav
AlGore_2006 AG AG 108 NA 82.38 82.48 AlGore_2006.AG.words108 AlGore_2006-light.wav
AlGore_2006 AG AG 109 NA 82.48 82.53 AlGore_2006.AG.words109 AlGore_2006-light.wav
AlGore_2006 AG AG 110 NA 82.53 82.78 AlGore_2006.AG.words110 AlGore_2006-light.wav
AlGore_2006 AG AG 111 NA 82.78 83.22 AlGore_2006.AG.words111 AlGore_2006-light.wav
AlGore_2006 AG AG 112 NA 83.25 83.47 AlGore_2006.AG.words112 AlGore_2006-light.wav
AlGore_2006 AG AG 113 NA 83.47 83.74 AlGore_2006.AG.words113 AlGore_2006-light.wav
AlGore_2006 AG AG 114 NA 83.74 83.82 AlGore_2006.AG.words114 AlGore_2006-light.wav
AlGore_2006 AG AG 115 NA 83.82 83.98 AlGore_2006.AG.words115 AlGore_2006-light.wav
AlGore_2006 AG AG 116 NA 83.98 84.14 AlGore_2006.AG.words116 AlGore_2006-light.wav
AlGore_2006 AG AG 117 NA 84.14 84.42 AlGore_2006.AG.words117 AlGore_2006-light.wav
AlGore_2006 AG AG 118 NA 85.55 85.81 AlGore_2006.AG.words118 AlGore_2006-light.wav
AlGore_2006 AG AG 119 NA 85.81 86.27 AlGore_2006.AG.words119 AlGore_2006-light.wav
AlGore_2006 AG AG 120 NA 86.27 86.5 AlGore_2006.AG.words120 AlGore_2006-light.wav
AlGore_2006 AG AG 121 NA 86.5 86.58 AlGore_2006.AG.words121 AlGore_2006-light.wav
AlGore_2006 AG AG 122 NA 86.58 86.71 AlGore_2006.AG.words122 AlGore_2006-light.wav
AlGore_2006 AG AG 123 NA 86.71 87.02 AlGore_2006.AG.words123 AlGore_2006-light.wav
AlGore_2006 AG AG 124 NA 87.02 87.23 AlGore_2006.AG.words124 AlGore_2006-light.wav
AlGore_2006 AG AG 125 NA 88.28 88.53 AlGore_2006.AG.words125 AlGore_2006-light.wav
AlGore_2006 AG AG 126 NA 88.53 88.79 AlGore_2006.AG.words126 AlGore_2006-light.wav
AlGore_2006 AG AG 127 NA 91.11 91.36 AlGore_2006.AG.words127 AlGore_2006-light.wav
AlGore_2006 AG AG 128 NA 91.36 91.56 AlGore_2006.AG.words128 AlGore_2006-light.wav
AlGore_2006 AG AG 129 NA 91.56 92.23 AlGore_2006.AG.words129 AlGore_2006-light.wav
AlGore_2006 AG AG 130 NA 92.23 92.48 AlGore_2006.AG.words130 AlGore_2006-light.wav
AlGore_2006 AG AG 131 NA 92.48 92.65 AlGore_2006.AG.words131 AlGore_2006-light.wav
AlGore_2006 AG AG 132 NA 92.65 93.11 AlGore_2006.AG.words132 AlGore_2006-light.wav
AlGore_2006 AG AG 133 NA 93.14 93.34 AlGore_2006.AG.words133 AlGore_2006-light.wav
AlGore_2006 AG AG 134 NA 93.34 94.15 AlGore_2006.AG.words134 AlGore_2006-light.wav
AlGore_2006 AG AG 135 NA 94.18 94.62 AlGore_2006.AG.words135 AlGore_2006-light.wav
AlGore_2006 AG AG 136 NA 94.79 94.93 AlGore_2006.AG.words136 AlGore_2006-light.wav
AlGore_2006 AG AG 137 NA 94.93 95.12 AlGore_2006.AG.words137 AlGore_2006-light.wav
AlGore_2006 AG AG 138 NA 95.12 95.57 AlGore_2006.AG.words138 AlGore_2006-light.wav
AlGore_2006 AG AG 139 NA 95.57 95.72 AlGore_2006.AG.words139 AlGore_2006-light.wav
AlGore_2006 AG AG 140 NA 95.72 96.08 AlGore_2006.AG.words140 AlGore_2006-light.wav
AlGore_2006 AG AG 141 NA 96.08 96.31 AlGore_2006.AG.words141 AlGore_2006-light.wav
AlGore_2006 AG AG 142 NA 96.31 96.67 AlGore_2006.AG.words142 AlGore_2006-light.wav
AlGore_2006 AG AG 143 NA 96.67 96.92 AlGore_2006.AG.words143 AlGore_2006-light.wav
AlGore_2006 AG AG 144 NA 96.92 97.11 AlGore_2006.AG.words144 AlGore_2006-light.wav
