conv spk part sid chno starttime endtime seg.id wavfile
AlGore_2006 AG AG 74 NA 299.69 301.14 AlGore_2006.AG.p.38.seg.93 AlGore_2006-light.wav
AlGore_2006 AG AG 75 NA 304.87 306.88 AlGore_2006.AG.p.40.seg.95 AlGore_2006-light.wav
AlGore_2006 AG AG 76 NA 306.88 311.11 AlGore_2006.AG.p.40.seg.96 AlGore_2006-light.wav
AlGore_2006 AG AG 77 NA 311.11 313.14 AlGore_2006.AG.p.40.seg.97 AlGore_2006-light.wav
AlGore_2006 AG AG 78 NA 314.33 316.64 AlGore_2006.AG.p.40.seg.98 AlGore_2006-light.wav
AlGore_2006 AG AG 79 NA 317.83 319.06 AlGore_2006.AG.p.42.seg.100 AlGore_2006-light.wav
AlGore_2006 AG AG 80 NA 319.15 321.86 AlGore_2006.AG.p.42.seg.101 AlGore_2006-light.wav
AlGore_2006 AG AG 81 NA 321.86 325.4 AlGore_2006.AG.p.42.seg.102 AlGore_2006-light.wav
AlGore_2006 AG AG 82 NA 325.44 327.85 AlGore_2006.AG.p.42.seg.103 AlGore_2006-light.wav
AlGore_2006 AG AG 83 NA 334.57 337.23 AlGore_2006.AG.p.44.seg.105 AlGore_2006-light.wav
AlGore_2006 AG AG 84 NA 343.98 345.74 AlGore_2006.AG.p.46.seg.107 AlGore_2006-light.wav
AlGore_2006 AG AG 85 NA 346.51 348.25 AlGore_2006.AG.p.46.seg.108 AlGore_2006-light.wav
AlGore_2006 AG AG 86 NA 348.58 351.87 AlGore_2006.AG.p.46.seg.109 AlGore_2006-light.wav
AlGore_2006 AG AG 87 NA 351.96 354.16 AlGore_2006.AG.p.46.seg.110 AlGore_2006-light.wav
AlGore_2006 CA CA 88 NA 354.16 360.65 AlGore_2006.CA.p.48.seg.112 AlGore_2006-light.wav
AlGore_2006 AG AG 89 NA 360.65 365.11 AlGore_2006.AG.p.50.seg.114 AlGore_2006-light.wav
AlGore_2006 AG AG 90 NA 365.11 366.87 AlGore_2006.AG.p.50.seg.115 AlGore_2006-light.wav
AlGore_2006 AG AG 91 NA 366.87 370.75 AlGore_2006.AG.p.50.seg.116 AlGore_2006-light.wav
AlGore_2006 AG AG 92 NA 372.11 374.35 AlGore_2006.AG.p.50.seg.117 AlGore_2006-light.wav
AlGore_2006 AG AG 93 NA 375.06 377.44 AlGore_2006.AG.p.50.seg.118 AlGore_2006-light.wav
AlGore_2006 AG AG 94 NA 377.47 382.6 AlGore_2006.AG.p.50.seg.119 AlGore_2006-light.wav
AlGore_2006 AG AG 95 NA 383.5 384.63 AlGore_2006.AG.p.50.seg.120 AlGore_2006-light.wav
AlGore_2006 AG AG 96 NA 385.02 388.35 AlGore_2006.AG.p.50.seg.121 AlGore_2006-light.wav
AlGore_2006 AG AG 97 NA 388.35 389.75 AlGore_2006.AG.p.50.seg.122 AlGore_2006-light.wav
AlGore_2006 AG AG 98 NA 389.75 392.28 AlGore_2006.AG.p.50.seg.123 AlGore_2006-light.wav
AlGore_2006 AG AG 99 NA 393.25 394.95 AlGore_2006.AG.p.50.seg.124 AlGore_2006-light.wav
AlGore_2006 AG AG 100 NA 395.21 398 AlGore_2006.AG.p.50.seg.125 AlGore_2006-light.wav
AlGore_2006 AG AG 101 NA 398.82 404.17 AlGore_2006.AG.p.50.seg.126 AlGore_2006-light.wav
AlGore_2006 AG AG 102 NA 404.33 406.88 AlGore_2006.AG.p.50.seg.127 AlGore_2006-light.wav
AlGore_2006 AG AG 103 NA 407.43 410.46 AlGore_2006.AG.p.50.seg.128 AlGore_2006-light.wav
AlGore_2006 AG AG 104 NA 410.46 413.71 AlGore_2006.AG.p.50.seg.129 AlGore_2006-light.wav
